"variable","dummyVariable","typeEnd","databaseStart","variableStart","ICES confirmation","typeStart","recEnd","numValidCat","catLabel","catLabelLong","units","recStart","catStartLabel","variableStartShortLabel","variableStartLabel","notes","...18","...19","uid","uid_detail","date_start","date_end"
"ADL_01","ADL_01_cat2_1","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::RACA_6A, cchs2003_p::RACC_6A, cchs2005_p::RACE_6A, cchs2007_2008_p::RAC_6A, cchs2015_2016_p::ADL_005, cchs2017_2018_p::ADL_005, cchs2001_i::RACA_6A, cchs2003_i::RACC_6A, cchs2005_i::RACE_6A, [ADL_01]","ICES confirmed","cat","1",2,"Yes","Yes","","1","Yes","Help preparing meals","Needs help - preparing meals","",,"","v_001","d_00001","",""
"ADL_01","ADL_01_cat2_2","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::RACA_6A, cchs2003_p::RACC_6A, cchs2005_p::RACE_6A, cchs2007_2008_p::RAC_6A, cchs2015_2016_p::ADL_005, cchs2017_2018_p::ADL_005, cchs2001_i::RACA_6A, cchs2003_i::RACC_6A, cchs2005_i::RACE_6A, [ADL_01]","ICES confirmed","cat","2",2,"No","No","","2","No","Help preparing meals","Needs help - preparing meals","",,"","v_001","d_00002","",""
"ADL_01","ADL_01_cat2_NA::a","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::RACA_6A, cchs2003_p::RACC_6A, cchs2005_p::RACE_6A, cchs2007_2008_p::RAC_6A, cchs2015_2016_p::ADL_005, cchs2017_2018_p::ADL_005, cchs2001_i::RACA_6A, cchs2003_i::RACC_6A, cchs2005_i::RACE_6A, [ADL_01]","ICES confirmed","cat","NA::a",2,"not applicable","not applicable","","6","not applicable","Help preparing meals","Needs help - preparing meals","",,"","v_001","d_00003","",""
"ADL_01","ADL_01_cat2_NA::b","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::RACA_6A, cchs2003_p::RACC_6A, cchs2005_p::RACE_6A, cchs2007_2008_p::RAC_6A, cchs2015_2016_p::ADL_005, cchs2017_2018_p::ADL_005, cchs2001_i::RACA_6A, cchs2003_i::RACC_6A, cchs2005_i::RACE_6A, [ADL_01]","ICES confirmed","cat","NA::b",2,"missing","missing","","[7,9]","don't know (7); refusal (8); not stated (9)","Help preparing meals","Needs help - preparing meals","",,"","v_001","d_00004","",""
"ADL_01","ADL_01_cat2_NA::b","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::RACA_6A, cchs2003_p::RACC_6A, cchs2005_p::RACE_6A, cchs2007_2008_p::RAC_6A, cchs2015_2016_p::ADL_005, cchs2017_2018_p::ADL_005, cchs2001_i::RACA_6A, cchs2003_i::RACC_6A, cchs2005_i::RACE_6A, [ADL_01]","ICES confirmed","cat","NA::b",2,"missing","missing","","else","else","Help preparing meals","Needs help - preparing meals","",,"","v_001","d_00005","",""
"ADL_02","ADL_02_cat2_1","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::RACA_6B, cchs2003_p::RACC_6B1, cchs2005_p::RACE_6B1, cchs2007_2008_p::RAC_6B1, cchs2001_i::RACA_6B, cchs2003_i::RACC_6B1, cchs2005_i::RACE_6B1, cchs2007_2008_i::RAC_6B1, [ADL_02]","ICES confirmed","cat","1",2,"Yes","Yes","","1","Yes","Help appointments/errands","Needs help - getting to appointments/errands","In the 2001 CCHS, respondents were asked, ""Because of any condition or health problem, do you need the help of another person in shopping for groceries or other necessities?""",,"","v_002","d_00006","",""
"ADL_02","ADL_02_cat2_2","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::RACA_6B, cchs2003_p::RACC_6B1, cchs2005_p::RACE_6B1, cchs2007_2008_p::RAC_6B1, cchs2001_i::RACA_6B, cchs2003_i::RACC_6B1, cchs2005_i::RACE_6B1, cchs2007_2008_i::RAC_6B1, [ADL_02]","ICES confirmed","cat","2",2,"No","No","","2","No","Help appointments/errands","Needs help - getting to appointments/errands","",,"","v_002","d_00007","",""
"ADL_02","ADL_02_cat2_NA::a","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::RACA_6B, cchs2003_p::RACC_6B1, cchs2005_p::RACE_6B1, cchs2007_2008_p::RAC_6B1, cchs2001_i::RACA_6B, cchs2003_i::RACC_6B1, cchs2005_i::RACE_6B1, cchs2007_2008_i::RAC_6B1, [ADL_02]","ICES confirmed","cat","NA::a",2,"not applicable","not applicable","","6","not applicable","Help appointments/errands","Needs help - getting to appointments/errands","",,"","v_002","d_00008","",""
"ADL_02","ADL_02_cat2_NA::b","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::RACA_6B, cchs2003_p::RACC_6B1, cchs2005_p::RACE_6B1, cchs2007_2008_p::RAC_6B1, cchs2001_i::RACA_6B, cchs2003_i::RACC_6B1, cchs2005_i::RACE_6B1, cchs2007_2008_i::RAC_6B1, [ADL_02]","ICES confirmed","cat","NA::b",2,"missing","missing","","[7,9]","don't know (7); refusal (8); not stated (9)","Help appointments/errands","Needs help - getting to appointments/errands","",,"","v_002","d_00009","",""
"ADL_02","ADL_02_cat2_NA::b","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::RACA_6B, cchs2003_p::RACC_6B1, cchs2005_p::RACE_6B1, cchs2007_2008_p::RAC_6B1, cchs2001_i::RACA_6B, cchs2003_i::RACC_6B1, cchs2005_i::RACE_6B1, cchs2007_2008_i::RAC_6B1, [ADL_02]","ICES confirmed","cat","NA::b",2,"missing","missing","","else","else","Help appointments/errands","Needs help - getting to appointments/errands","",,"","v_002","d_00010","",""
