"uid","uid_detail","variable","dummyVariable","recEnd","catLabel","catLabelLong","units","proportion","value","range_min","range_max","date_start","date_end","notes"
"v_003","d_001","index_date","","date_start","Start date","Accrual start date","YYYY-MM-DD",NA,NA,NA,NA,"2000-01-01","","Start of accrual period"
"v_003","d_002","index_date","","date_end","End date","Accrual end date","YYYY-MM-DD",NA,NA,NA,NA,"","2005-12-31","End of accrual period"
"v_001","d_003","ADL_01","ADL_01_cat2_1","1","Yes","Yes","N/A",NA,NA,NA,NA,"","",""
"v_001","d_004","ADL_01","ADL_01_cat2_2","2","No","No","N/A",NA,NA,NA,NA,"","",""
"v_001","d_005","ADL_01","ADL_01_cat2_NA::a","6","not applicable","not applicable","N/A",NA,NA,NA,NA,"","",""
"v_001","d_006","ADL_01","ADL_01_cat2_NA::b","[7,9]","don't know (7); refusal (8); not stated (9)","missing","N/A",NA,NA,NA,NA,"","",""
"v_001","d_007","ADL_01","ADL_01_cat2_NA::b","else","else","missing","N/A",NA,NA,NA,NA,"","",""
"v_009","d_008","ALW_2A1","N/A","[0,50]","Number of drinks on Sunday","Number of drinks on Sunday","drinks",NA,NA,NA,NA,"","",""
"v_009","d_009","ALW_2A1","N/A","996","not applicable","not applicable","drinks",NA,NA,NA,NA,"","",""
"v_009","d_010","ALW_2A1","N/A","[997,999]","don't know (997); refusal (998); not stated (999)","missing","drinks",NA,NA,NA,NA,"","",""
"v_009","d_011","ALW_2A1","N/A","else","else","missing","drinks",NA,NA,NA,NA,"","",""
